,X,DIGESTMOD,QUALITY,PAYLOAD_SIZE_BYTE,ATTACK_PROBABILITY,goodput,avg_verification,latency,frame_rate
170,"0.9 opmtial, m_nr: 30, t_nr: 15",sha256,25,16,0.3,0.06947027324711087,36.919490640314656,,
171,"0.95 opmtial, m_nr: 30, t_nr: 15",sha256,25,16,0.0,0.42892860458592597,2560.0,0.016334340469556688,6.24
172,"0.95 opmtial, m_nr: 30, t_nr: 15",sha256,25,16,0.01,0.43100173527230395,2099.6083626854647,0.02509874499695318,4.56
173,"0.95 opmtial, m_nr: 30, t_nr: 15",sha256,25,16,0.1,0.19535162251396418,340.7524884652598,,1.1666666666666667
174,"0.95 opmtial, m_nr: 30, t_nr: 15",sha256,25,16,0.2,0.03694112510071532,30.173564717312303,,
175,"0.95 opmtial, m_nr: 30, t_nr: 15",sha256,25,16,0.3,0.0033857907276725833,34.13217760850671,,
176,"0.8 opmtial, m_nr: 30, t_nr: 15",sha256,25,16,0.0,0.42513968300823735,512.0,0.014769148394954591,6.333333333333333
177,"0.8 opmtial, m_nr: 30, t_nr: 15",sha256,25,16,0.01,0.43511575209077374,491.7172209315508,0.02812076636312943,4.375
178,"0.8 opmtial, m_nr: 30, t_nr: 15",sha256,25,16,0.1,0.3941959178098587,337.3240961397589,0.19899640083714162,1.3333333333333333
179,"0.8 opmtial, m_nr: 30, t_nr: 15",sha256,25,16,0.2,0.3149487570794659,210.08981732301862,0.28706365356910046,
180,"0.8 opmtial, m_nr: 30, t_nr: 15",sha256,25,16,0.3,0.22866713060681626,127.7467766481898,1.8840725101599973,
181,ProMAC 2,sha256,25,16,0.0,0.30216867936253217,249.59999999999997,0.006463148250779954,6.961538461538462
182,ProMAC 2,sha256,25,16,0.01,0.30195249543136354,244.76872473765363,0.003926583239213147,6.538461538461538
183,ProMAC 2,sha256,25,16,0.1,0.29534385601633023,202.61065419484703,0.013191959205193969,1.2
184,ProMAC 2,sha256,25,16,0.2,0.2810138410884616,161.44694753042918,-0.5474745718924526,1.0
185,ProMAC 2,sha256,25,16,0.3,0.2599225219062548,124.10581736894154,-0.8972315560730538,
186,ProMAC 3,sha256,25,16,0.0,0.30106087765161793,243.19999999999993,0.014528162010272579,6.1923076923076925
187,ProMAC 3,sha256,25,16,0.01,0.30140557951193053,235.97080920780695,-0.0020891365660064484,4.083333333333333
188,ProMAC 3,sha256,25,16,0.1,0.2878945536775675,179.52023164813602,-0.1251099063221238,1.0
189,ProMAC 3,sha256,25,16,0.2,0.26238527885819124,127.14933873545533,-0.046041325516874856,1.0
190,ProMAC 3,sha256,25,16,0.3,0.22451674880490877,87.12580161385438,-0.1564814598530794,
191,ProMAC 4,sha256,25,16,0.0,0.3016118507171357,236.79999999999995,0.011113450045646449,7.321428571428571
192,ProMAC 4,sha256,25,16,0.01,0.30100601292655843,227.7333848147306,0.013100116519216713,5.703703703703703
193,ProMAC 4,sha256,25,16,0.1,0.2798410459494142,158.1795769897857,0.043204043568801344,1.5
194,ProMAC 4,sha256,25,16,0.2,0.2373577116635966,101.51500663787331,0.1631871083408457,1.0
195,ProMAC 4,sha256,25,16,0.3,0.18718076699864203,62.091254450444936,0.4425956434982467,1.0
196,Trad.,sha256,25,16,0.0,0.2997506035594308,256.0,0.010204589708905833,6.346153846153846
197,Trad.,sha256,25,16,0.01,0.3007538704255822,253.4223809973722,0.009586817013695528,6.0
198,Trad.,sha256,25,16,0.1,0.298801000818294,230.4896447675981,0.009341031810187993,1.0
199,Trad.,sha256,25,16,0.2,0.2949758281745975,204.72266763132862,0.009737408144533003,1.0
200,Trad.,sha256,25,16,0.3,0.28921400784445533,179.01994009473972,0.008821302754719127,
201,1D MAC,sha256,25,16,0.0,0.5067316327787772,256.0,0.009412219418840937,8.37037037037037
202,1D MAC,sha256,25,16,0.01,0.49798879469714935,248.35317283206328,0.07561534317038732,5.32
203,1D MAC,sha256,25,16,0.1,0.40604651523645763,188.3197225134352,0.6296395104488707,1.4
204,1D MAC,sha256,25,16,0.2,0.31120160563107674,132.0892844804555,1.321069293266186,
205,1D MAC,sha256,25,16,0.3,0.23288015973914322,89.91832450607204,1.9060635665224972,
